"id","name","category","start_date","start_time","end_time","venue","address","city","description","event_url","image_url","contact","rsvp","include"
"e001","AZ MediQuip Open House","Open House","2026-08-25","10:00 AM","12:00 PM","AZ MediQuip","AZ MediQuip","Scottsdale","","","","","no","yes"
"e002","Scottsdale 101 Referral Network Lunch","Networking","2026-08-25","11:30 AM","1:00 PM","Chompie's","Chompie's","Phoenix","Held every 4th Tuesday","https://www.facebook.com/share/18sJaUSa5v","","","no","yes"
"e003","Network Kickback Lunch","Networking","2026-08-25","12:00 PM","","309 Sports Lounge","309 Sports Lounge","","City not specified in source post - needs confirmation","","","","no","no"
"e004","Amber Rose AL Open House","Open House","2026-08-25","2:00 PM","","Amber Rose Assisted Living","1962 W Cool Water Way","San Tan Valley","","","","","no","yes"
"e005","Rockin Rob Karaoke","Misc","2026-08-25","5:00 PM","","Arizona Golf Resort","Arizona Golf Resort","","City not specified in source post - needs confirmation","","","","no","no"
"e006","Echale Networking Event","Networking","2026-08-25","5:30 PM","","","","","Venue and city not specified in source post - needs confirmation","https://www.facebook.com/share/1DLUu3qUgm","","","no","no"
"e007","Mesa Chamber Leads Open House","Open House","2026-08-26","8:00 AM","9:00 AM","Norris Air","3841 E Main St","Mesa","","","","480-832-3330","no","yes"
"e008","Delivering Care","Networking","2026-08-26","8:30 AM","10:00 AM","Bosa Donuts","10427 E McDowell Mountain Ranch Rd","Scottsdale","","","","","no","yes"
"e009","Empower Business Opportunity Networking Coffee Mixer","Networking","2026-08-26","9:00 AM","10:00 AM","Rudy's BBQ","Rudy's BBQ","Gilbert","Eventbrite link was truncated in source post - needs full URL","","","","no","yes"
"e010","Local Lunch","Networking","2026-08-26","11:30 AM","1:00 PM","Bonfire","Bonfire","Tempe","Meetup event ID 315203393 - link truncated in source post","","","","no","yes"
"e011","PASRS Happy Hour - August Educational Meeting","Misc","2026-08-26","3:00 PM","5:00 PM","The Park at Copper Creek","The Park at Copper Creek","Chandler","","","","","no","yes"
"e012","Business over Bubbly","Networking","2026-08-26","3:30 PM","5:00 PM","Silver Birch","Silver Birch","Avondale","","https://fb.me/e/53EgFeQS","","","no","yes"
"e013","Ribbon Cutting - Handel's Ice Cream","Ribbon Cutting","2026-08-26","4:00 PM","","Handel's Ice Cream","2015 N Power Rd","Mesa","Mesa Chamber ribbon cutting - all welcome","","","","no","yes"
"e014","Go Local","Networking","2026-08-26","5:00 PM","","The Hub Ahwatukee","The Hub Ahwatukee","Phoenix","","https://www.facebook.com/share/1JUcJHkp8S","","","no","yes"
"e015","Chandler Business Alliance","Networking","2026-08-27","7:30 AM","8:45 AM","American Legion","American Legion","Chandler","Weekly Thursday meeting","","","","no","yes"
"e016","Coffee & Donuts","Networking","2026-08-27","9:30 AM","10:30 AM","MorningStar at Arcadia","MorningStar at Arcadia","Phoenix","Meetup event ID 316171966 - link truncated in source post","","","","no","yes"
"e017","Everything East Mesa Lunch","Networking","2026-08-27","11:30 AM","1:00 PM","The Hub East Mesa","The Hub East Mesa","Mesa","Guest invite - confirm your business category is open before attending","","","","yes","yes"
"e018","Women's Networking League","Networking","2026-08-27","11:30 AM","1:00 PM","Native Grill","Ray Rd","Phoenix","Meetup event ID 316022290 - link truncated in source post","","","","no","yes"
"e019","Steady Steps","Misc","2026-08-27","1:00 PM","3:00 PM","EverKind AL","19535 N 55th Dr","Glendale","Reserve your seat in advance","","","623-282-2093","yes","yes"
"e020","Speakeasy","Open House","2026-08-27","3:30 PM","5:00 PM","Canyon Winds","2851 N Boulder Canyon","Mesa","","","","kelly@canyonwindsaz.com","no","yes"
"e021","Epic","Networking","2026-08-27","5:00 PM","","Uptown Alley","13525 N Litchfield Rd","Surprise","","https://www.facebook.com/share/1D4Fyg8MkQ","","","no","yes"
"e022","Monthly Sandbox","Networking","2026-08-28","8:00 AM","10:00 AM","Sunflower Cremation","5650 E Main St","Mesa","","","","","no","yes"
"e023","Impact for Enterprising Women","Networking","2026-08-28","11:30 AM","1:00 PM","Chompie's","32nd Street and Cactus","Phoenix","Bring a guest - both get $5 off lunch","","","impactforenterprisingwomen1@gmail.com","no","yes"
"e024","Ribbon Cutting - Crust Simply Italian","Ribbon Cutting","2026-08-28","3:00 PM","4:00 PM","Crust Simply Italian","233 E Main St STE 105","Mesa","Mesa Chamber ribbon cutting - non-members welcome","","","","no","yes"
"e025","4th Friday Cocktails & Connections","Networking","2026-08-28","3:30 PM","5:00 PM","Sunrise of Scottsdale - Gold Dust","Sunrise of Scottsdale - Gold Dust","Scottsdale","","","","480-609-5115 / Amy.Bloomfield@sunriseseniorliving.com","no","yes"
